Sentence #	Word	POS	Tag
Sentence 4	foi	VERB	O
Sentence 4	a	DET	O
Sentence 4	maior	ADJ	O
Sentence 4	prova	NOUN	O
Sentence 4	de	ADP	O
Sentence 4	que	SCONJ	O
Sentence 4	eu	PRON	O
Sentence 4	sou	VERB	O
Sentence 4	muito	ADV	O
Sentence 4	tonta	ADJ	O
Sentence 5	@jucavencio	PROPN	O
Sentence 5	Essa	DET	O
Sentence 5	foto	NOUN	O
Sentence 5	tá	AUX	O
Sentence 5	parecendo	VERB	O
Sentence 5	que	SCONJ	O
Sentence 5	eu	PRON	O
Sentence 5	tenho	VERB	O
Sentence 6	@gabpradoamorim	PROPN	O
Sentence 6	ps	PROPN	O
Sentence 6	:	PUNCT	O
Sentence 6	dois	NUM	O
Sentence 6	cursos	SYM	O
Sentence 6	nada	PRON	O
Sentence 6	a	ADP	O
Sentence 6	ver	VERB	O
Sentence 6	um	NUM	O
Sentence 6	com	ADP	O
Sentence 6	o	DET	O
Sentence 6	outro	PRON	O
Sentence 7	Alguém	PRON	O
Sentence 7	me	PRON	O
Sentence 7	apresenta	VERB	O
Sentence 7	umas	DET	O
Sentence 7	musicas	NOUN	O
Sentence 7	ai	NOUN	O
Sentence 8	que	SCONJ	O
Sentence 8	tipo	NOUN	O
Sentence 8	de	ADP	O
Sentence 8	foto	NOUN	O
Sentence 8	é	VERB	O
Sentence 8	que	SCONJ	O
Sentence 8	tu	PROPN	O
Sentence 8	tá	VERB	O
Sentence 8	com	ADP	O
Sentence 8	vergonha	NOUN	O
Sentence 8	?	PUNCT	O
Sentence 8	—	PROPN	O
Sentence 8	Olha	PROPN	O
Sentence 8	minha	DET	O
Sentence 8	capa	NOUN	O
Sentence 8	sndmdkdmdm	ADJ	O
Sentence 8	https://t.co/K8p9kWkSLi	PROPN	O
Sentence 9	@ForeverPlayerG	NOUN	O
Sentence 9	Mais	ADV	O
Sentence 9	planejamento	ADJ	O
Sentence 9	e	CCONJ	O
Sentence 9	conhecimento	NOUN	O
Sentence 9	de	ADP	O
Sentence 9	configuração	NOUN	O
Sentence 10	@_ddaninunes	PROPN	O
Sentence 10	Tem	VERB	O
Sentence 10	seus	DET	O
Sentence 10	lados	SYM	O
Sentence 10	positivos	ADJ	O
Sentence 10	e	CCONJ	O
Sentence 10	são	VERB	O
Sentence 10	bons	ADJ	O
Sentence 10	demais	DET	O
Sentence 10	ajejuaheuahe	ADJ	O
Sentence 10	mas	PUNCT	O
Sentence 10	poucos	ADJ	O
Sentence 11	@VictroVonDoom	NOUN	O
Sentence 11	POR	ADP	O
Sentence 11	FAVOR	NOUN	O
Sentence 11	NAO	ADJ	O
Sentence 12	@Fariaagabyy	VERB	O
Sentence 12	Kkkkkkkkkkk	PROPN	O
Sentence 12	,	PUNCT	O
Sentence 12	não	ADV	O
Sentence 12	fala	VERB	O
Sentence 12	assim	ADV	O
Sentence 12	kkk	PROPN	O
Sentence 13	Mais	ADV	O
Sentence 13	desgraçadas	NOUN	O
Sentence 13	da	ADP	O
Sentence 13	cabeça	NOUN	O
Sentence 13	pelo	ADP	O
Sentence 13	justin	PROPN	B-person
Sentence 13	do	ADV	O
Sentence 13	q	ADP	O
Sentence 13	eu	PRON	O
Sentence 13	e	CCONJ	O
Sentence 13	mayli	VERB	B-person
Sentence 13	ta	PRON	O
Sentence 13	pra	ADP	O
Sentence 13	nascer	VERB	O
Sentence 14	@gustaaps	PROPN	O
Sentence 14	Aah	VERB	O
Sentence 14	sim	ADV	O
Sentence 14	uahauahua	VERB	O
Sentence 14	aha	ADV	O
Sentence 15	Tendeu	VERB	O
Sentence 15	sim	ADV	O
Sentence 15	,	PUNCT	O
Sentence 15	não	ADV	O
Sentence 15	te	PRON	O
Sentence 15	faz	VERB	O
Sentence 15	kkkk	PROPN	O
Sentence 16	Eu	PRON	O
Sentence 16	me	PRON	O
Sentence 16	atrapalhei	VERB	O
Sentence 16	toda	DET	O
Sentence 16	hj	SYM	O
Sentence 17	quando	ADV	O
Sentence 17	se	PRON	O
Sentence 17	fala	VERB	O
Sentence 17	mercado	NOUN	O
Sentence 17	sempre	ADV	O
Sentence 17	tem	VERB	O
Sentence 17	aquele	DET	O
Sentence 17	amigo	NOUN	O
Sentence 17	p	ADJ	O
Sentence 17	te	AUX	O
Sentence 17	lembrar	VERB	O
Sentence 17	né	PROPN	O
Sentence 17	incrivel	ADJ	O
Sentence 18	Um	NUM	O
Sentence 18	dia	NOUN	O
Sentence 18	tá	VERB	O
Sentence 18	tudo	PRON	O
Sentence 18	bem	ADV	O
Sentence 18	,	PUNCT	O
Sentence 18	no	ADP	O
Sentence 18	outro	DET	O
Sentence 18	não	ADV	O
Sentence 18	e	CCONJ	O
Sentence 18	assim	ADV	O
Sentence 18	vai	AUX	O
Sentence 18	indo	VERB	O
Sentence 18	a	DET	O
Sentence 18	vida	NOUN	O
Sentence 19	Mas	PUNCT	O
Sentence 19	fica	VERB	O
Sentence 19	em	ADP	O
Sentence 19	paz	NOUN	O
Sentence 19	!	PUNCT	O
Sentence 19	Eu	PRON	O
Sentence 19	te	AUX	O
Sentence 19	amo	VERB	O
Sentence 19	!	PUNCT	O
Sentence 20	@belaapacheco	PROPN	O
Sentence 20	meu	DET	O
Sentence 20	sonho	NOUN	O
Sentence 20	eh	PROPN	O
Sentence 20	te	ADP	O
Sentence 20	pegar	VERB	O
Sentence 21	Quero	VERB	O
Sentence 21	conversar	VERB	O
Sentence 21	com	ADP	O
Sentence 21	alguém	PRON	O
Sentence 21	mano	ADJ	O
Sentence 22	Tenho	VERB	O
Sentence 22	Msm	PROPN	O
Sentence 22	irmão	NOUN	O
Sentence 22	kkkkk	VERB	O
Sentence 22	https://t.co/9YkN6SehqG	PROPN	O
Sentence 23	#	PROPN	O
Sentence 23	depoisdojogo	NOUN	O
Sentence 23	Piperno	PROPN	B-person
Sentence 23	se	SCONJ	O
Sentence 23	o	DET	O
Sentence 23	Trainee	PROPN	O
Sentence 23	R.Ceni	AUX	B-person
Sentence 23	passar	VERB	O
Sentence 23	em	ADP	O
Sentence 23	qualquer	DET	O
Sentence 23	um	NUM	O
Sentence 23	dos	NOUN	O
Sentence 23	Mata	PROPN	O
Sentence 23	a	DET	O
Sentence 23	Mata	PROPN	O
Sentence 23	,	PUNCT	O
Sentence 23	  	SPACE	O
Sentence 23	;	PUNCT	O
Sentence 23	você	PRON	O
Sentence 23	vai	AUX	O
Sentence 23	ter	AUX	O
Sentence 23	que	SCONJ	O
Sentence 23	usar	VERB	O
Sentence 23	um	DET	O
Sentence 23	crachá	NOUN	O
Sentence 23	De	ADP	O
Sentence 23	Trainee	PROPN	O
Sentence 23	dom	PROPN	O
Sentence 23	que	PRON	O
Sentence 23	vem	VERB	O
Sentence 23	!	PUNCT	O
Sentence 24	Preciso	NOUN	O
Sentence 24	acordar	VERB	O
Sentence 24	mais	DET	O
Sentence 24	cedo	ADV	O
Sentence 24	e	CCONJ	O
Sentence 24	ajeitar	VERB	O
Sentence 24	meu	DET	O
Sentence 24	cabelo	NOUN	O
Sentence 24	que	PRON	O
Sentence 24	tá	VERB	O
Sentence 24	só	ADV	O
Sentence 24	a	DET	O
Sentence 24	bagaceira	NOUN	O
Sentence 25	@AbioJoao	PROPN	O
Sentence 25	Patrão	NOUN	O
Sentence 26	não	ADV	O
Sentence 26	quero	VERB	O
Sentence 26	ir	VERB	O
Sentence 26	pra	ADP	O
Sentence 26	escola	NOUN	O
Sentence 27	esse	DET	O
Sentence 27	João	PROPN	B-person
Sentence 27	Guilherme	PROPN	I-person
Sentence 27	ta	VERB	O
Sentence 27	mt	PROPN	O
Sentence 27	estranho	NOUN	O
Sentence 28	@leozitotevez	VERB	O
Sentence 28	Que	NOUN	O
Sentence 28	tristeza	NOUN	O
Sentence 28	em	ADP	O
Sentence 28	que	PRON	O
Sentence 28	vc	PROPN	O
Sentence 28	estava	VERB	O
Sentence 28	pra	ADP	O
Sentence 28	se	PRON	O
Sentence 28	lembrar	VERB	O
Sentence 28	d	ADP	O
Sentence 28	isso	PRON	O
Sentence 28	hein	DET	O
Sentence 29	@ForeverPlayerG	PROPN	O
Sentence 29	tem	AUX	O
Sentence 29	que	SCONJ	O
Sentence 29	ser	VERB	O
Sentence 29	,	PUNCT	O
Sentence 29	essa	PRON	O
Sentence 29	o	DET	O
Sentence 29	áudio	NOUN	O
Sentence 29	tava	VERB	O
Sentence 29	ruim	NOUN	O
Sentence 29	.	PUNCT	O
Sentence 29	Próxima	PROPN	O
Sentence 29	faz	VERB	O
Sentence 29	a	DET	O
Sentence 29	farm	NOUN	O
Sentence 29	de	ADP	O
Sentence 29	iron	NOUN	O
Sentence 29	na	PROPN	O
Sentence 29	live	NOUN	O
Sentence 29	.	PUNCT	O
Sentence 30	@marianasoubhia	PROPN	O
Sentence 30	Aaaa	PROPN	O
Sentence 30	mari	PROPN	B-person
Sentence 30	mto	PROPN	O
Sentence 30	mto	PROPN	O
Sentence 30	obri	VERB	O
Sentence 30	hehe	NOUN	O
Sentence 31	Se	SCONJ	O
Sentence 31	toda	DET	O
Sentence 31	dor	NOUN	O
Sentence 31	virasse	VERB	O
Sentence 31	flor	ADV	O
Sentence 31	eu	PRON	O
Sentence 31	seria	VERB	O
Sentence 31	um	DET	O
Sentence 31	jardim	NOUN	O
Sentence 31	😪	PROPN	O
Sentence 32	@Vickmatiass	ADP	O
Sentence 32	@RubensSiedler	VERB	O
Sentence 32	@Beellinda12	PROPN	O
Sentence 32	Lembre	PROPN	O
Sentence 32	-	PUNCT	O
Sentence 32	se	PRON	O
Sentence 32	de	ADP	O
Sentence 32	mim	PRON	O
Sentence 32	!	PUNCT	O
Sentence 33	Vou	AUX	O
Sentence 33	me	PRON	O
Sentence 33	degradar	VERB	O
Sentence 33	pra	ADP	O
Sentence 33	agradar	VERB	O
Sentence 33	vocês	PRON	O
Sentence 33	?	PUNCT	O
Sentence 33	Nunca	ADV	O
Sentence 33	!	PUNCT	O
Sentence 33	—	NUM	O
Sentence 33	ouvindo	VERB	O
Sentence 33	Racionais	NOUN	O
Sentence 34	Kkkkkkkkk	PROPN	O
Sentence 34	que	SCONJ	O
Sentence 34	vergonha	NOUN	O
Sentence 34	https://t.co/AnYhBjOeFC	PRON	O
Sentence 35	@Raycchagas	NOUN	O
Sentence 35	@AnnaSpr4yberry	PROPN	O
Sentence 35	dnv	PROPN	O
Sentence 35	no	ADP	O
Sentence 35	caso	NOUN	O
Sentence 35	kkkk	ADJ	O
Sentence 36	Não	ADV	O
Sentence 36	sei	VERB	O
Sentence 36	o	X	O
Sentence 36	que	PRON	O
Sentence 36	a	DET	O
Sentence 36	Gaga	PROPN	B-person
Sentence 36	fez	VERB	O
Sentence 36	,	PUNCT	O
Sentence 36	mas	CCONJ	O
Sentence 36	está	VERB	O
Sentence 36	bonita	VERB	O
Sentence 36	na	PROPN	O
Sentence 36	Coachella	PROPN	B-organization
Sentence 36	.	PUNCT	O
Sentence 37	Só	ADV	O
Sentence 37	gratidão	VERB	O
Sentence 37	pelo	PROPN	O
Sentence 37	final	PROPN	O
Sentence 37	de	ADP	O
Sentence 37	semana	NOUN	O
Sentence 37	que	ADV	O
Sentence 37	eu	PRON	O
Sentence 37	tive	VERB	O
Sentence 37	..	PUNCT	O
Sentence 37	Obrigada	PROPN	O
Sentence 37	Deus	PROPN	O
Sentence 37	,	PUNCT	O
Sentence 37	por	ADP	O
Sentence 37	ter	AUX	O
Sentence 37	me	PRON	O
Sentence 37	dado	VERB	O
Sentence 37	a	DET	O
Sentence 37	melhor	ADJ	O
Sentence 37	família	NOUN	O
Sentence 37	🙏	NOUN	O
Sentence 37	🏽	PUNCT	O
Sentence 37	❤	PROPN	O
Sentence 37	️	PROPN	O
Sentence 38	@leticia_mouzer	PROPN	O
Sentence 38	obrigadaaa	NOUN	O
Sentence 38	!	PUNCT	O
Sentence 38	cê	VERB	O
Sentence 38	que	SCONJ	O
Sentence 38	é	VERB	O
Sentence 38	❤	PROPN	O
Sentence 39	@mgs_isa	VERB	O
Sentence 39	Botei	PROPN	O
Sentence 39	os	DET	O
Sentence 39	mlk	SYM	O
Sentence 39	pra	ADP	O
Sentence 39	assistir	VERB	O
Sentence 39	no	DET	O
Sentence 39	almoço	NOUN	O
Sentence 39	kkkk	PROPN	O
Sentence 40	Saudades	NOUN	O
Sentence 40	beijar	PROPN	O
Sentence 40	na	PROPN	O
Sentence 40	boca	VERB	O
Sentence 40	a	ADP	O
Sentence 40	os	DET	O
Sentence 40	domingos	SYM	O
Sentence 40	,	PUNCT	O
Sentence 40	saudades	NOUN	O
Sentence 41	Ba	PROPN	O
Sentence 41	tava	VERB	O
Sentence 41	legal	ADJ	O
Sentence 41	,	PUNCT	O
Sentence 41	gostei	VERB	O
Sentence 41	muito	DET	O
Sentence 41	🙏	NOUN	O
Sentence 41	✌	PROPN	O
Sentence 42	todos	DET	O
Sentence 42	meus	DET	O
Sentence 42	cds	NOUN	O
Sentence 42	foram	AUX	O
Sentence 42	juntos	VERB	O
Sentence 42	com	ADP	O
Sentence 42	a	DET	O
Sentence 42	enchente	NOUN	O
Sentence 42	Luan	PROPN	B-person
Sentence 42	,	PUNCT	O
Sentence 42	MAS	PUNCT	O
Sentence 42	JURO	PROPN	O
Sentence 42	QUE	PRON	O
Sentence 42	SOU	VERB	O
Sentence 42	SUA	DET	O
Sentence 42	FÃ	PROPN	O
Sentence 42	#	NOUN	O
Sentence 42	LuanCuidadoComAEnchente	PUNCT	O
Sentence 43	@diopacheco	PROPN	O
Sentence 43	HAUAHAUAHAHAHAA	PROPN	O
Sentence 43	eu	PRON	O
Sentence 43	te	PRON	O
Sentence 43	dou	VERB	O
Sentence 43	um	DET	O
Sentence 43	autografo	NOUN	O
Sentence 43	no	NOUN	O
Sentence 43	próximo	ADJ	O
Sentence 43	m&amp	NOUN	O
Sentence 43	;	PUNCT	O
Sentence 43	g	PROPN	O
Sentence 43	em	ADP	O
Sentence 43	SP	PROPN	B-location
Sentence 43	.	PUNCT	O
Sentence 43	#	NOUN	O
Sentence 43	pas	PRON	O
Sentence 44	Chega	AUX	O
Sentence 44	de	ADP	O
Sentence 44	ser	VERB	O
Sentence 44	idiota	ADJ	O
Sentence 45	pq	PROPN	O
Sentence 45	foz	PROPN	B-location
Sentence 45	do	PROPN	I-location
Sentence 45	igua	NOUN	I-location
Sentence 45	é	VERB	O
Sentence 45	assim	ADV	O
Sentence 45	mano	ADJ	O
Sentence 45	?	PUNCT	O
Sentence 45	?	PUNCT	O
Sentence 45	?	PUNCT	O
Sentence 45	tnc	NOUN	O
Sentence 45	que	SCONJ	O
Sentence 45	city	PROPN	O
Sentence 45	lixo	ADJ	O
Sentence 46	Sim	ADV	O
Sentence 46	,	PUNCT	O
Sentence 46	cinco	NUM	O
Sentence 46	😣	NUM	O
Sentence 46	!	PUNCT	O
Sentence 46	https://t.co/9wMKkt2AE0	NOUN	O
Sentence 47	AA	PROPN	O
Sentence 47	-	PUNCT	O
Sentence 47	nunca	ADV	O
Sentence 47	conversei	VERB	O
Sentence 47	,	PUNCT	O
Sentence 47	dm	PROPN	O
Sentence 47	está	VERB	O
Sentence 47	aí	ADV	O
Sentence 47	,	PUNCT	O
Sentence 47	parece	AUX	O
Sentence 47	ser	AUX	O
Sentence 47	querida	VERB	O
Sentence 47	e	CCONJ	O
Sentence 47	bonita	ADJ	O
Sentence 48	Esse	DET	O
Sentence 48	pneu	NOUN	O
Sentence 48	da	ADP	O
Sentence 48	bike	PROPN	O
Sentence 48	,	PUNCT	O
Sentence 48	tinha	VERB	O
Sentence 48	que	SCONJ	O
Sentence 48	furar	VERB	O
Sentence 48	logo	ADV	O
Sentence 48	hooooooje	ADV	O
Sentence 48	!	PUNCT	O
Sentence 48	!	PUNCT	O
Sentence 48	?	PUNCT	O
Sentence 49	Tu	PROPN	O
Sentence 49	vai	AUX	O
Sentence 49	gamar	VERB	O
Sentence 49	mesmo	ADV	O
Sentence 49	que	SCONJ	O
Sentence 49	tu	PROPN	O
Sentence 49	seja	VERB	O
Sentence 49	bandido	VERB	O
Sentence 49	🎶	VERB	O
Sentence 50	@DiegoAlmeeidaa1	PROPN	O
Sentence 50	vem	VERB	O
Sentence 50	visitar	VERB	O
Sentence 50	a	DET	O
Sentence 50	gnt	NOUN	O
Sentence 50	px	ADJ	O
Sentence 51	Eu	PRON	O
Sentence 51	sou	VERB	O
Sentence 51	cara	NOUN	O
Sentence 51	de	ADP	O
Sentence 51	pau	ADV	O
Sentence 51	demais	DET	O
Sentence 51	kkkkkkkk	NOUN	O
Sentence 52	odeio	VERB	O
Sentence 52	quando	ADV	O
Sentence 52	não	ADV	O
Sentence 52	sei	VERB	O
Sentence 52	lidar	VERB	O
Sentence 52	com	ADP	O
Sentence 52	as	DET	O
Sentence 52	situações	NOUN	O
Sentence 53	entao	PROPN	O
Sentence 53	pode	AUX	O
Sentence 53	me	PRON	O
Sentence 53	amar	VERB	O
Sentence 53	https://t.co/Gq832rEkrK	NOUN	O
Sentence 54	escondeu	VERB	O
Sentence 54	muito	ADV	O
Sentence 54	bem	ADV	O
Sentence 54	a	DET	O
Sentence 54	gravidez	NOUN	O
Sentence 54	e	CCONJ	O
Sentence 54	a	DET	O
Sentence 54	barriga	PROPN	O
Sentence 54	e	CCONJ	O
Sentence 54	provavelmente	ADV	O
Sentence 54	não	ADV	O
Sentence 54	vai	AUX	O
Sentence 54	mostrar	VERB	O
Sentence 54	tão	ADV	O
Sentence 54	cedo	ADV	O
Sentence 54	o	DET	O
Sentence 54	rosto	NOUN	O
Sentence 54	de	ADP	O
Sentence 54	Nina	PROPN	B-person
Sentence 55	@flavia586	NOUN	O
Sentence 55	@nykolevieiraa	ADJ	O
Sentence 55	para	ADP	O
Sentence 55	de	ADP	O
Sentence 55	palhaçada	NOUN	O
Sentence 55	flavinha	NOUN	B-person
Sentence 55	te	ADV	O
Sentence 55	amo	VERB	O
Sentence 56	700	NUM	O
Sentence 56	-	PUNCT	O
Sentence 56	não	ADV	O
Sentence 56	conheço	VERB	O
Sentence 56	,	PUNCT	O
Sentence 56	mas	CCONJ	O
Sentence 56	acho	VERB	O
Sentence 56	mó	ADV	O
Sentence 56	bonita	ADJ	O
Sentence 57	Se	SCONJ	O
Sentence 57	você	PRON	O
Sentence 57	já	ADV	O
Sentence 57	cansou	AUX	O
Sentence 57	de	ADP	O
Sentence 57	ser	AUX	O
Sentence 57	enganada	VERB	O
Sentence 57	,	PUNCT	O
Sentence 57	imagina	PROPN	O
Sentence 57	eu	PRON	O
Sentence 58	aceitando	VERB	O
Sentence 58	presentes	NOUN	O
Sentence 58	de	ADP	O
Sentence 58	natal	PROPN	O
Sentence 58	ja	PROPN	O
Sentence 58	https://t.co/3nSgYWxDmT	PROPN	O
Sentence 59	@marceloprado	VERB	O
Sentence 59	eu	PRON	O
Sentence 59	acho	VERB	O
Sentence 59	q	ADP	O
Sentence 59	ele	PRON	O
Sentence 59	ta	PRON	O
Sentence 59	usando	VERB	O
Sentence 59	isso	PRON	O
Sentence 59	meio	ADJ	O
Sentence 59	q	NOUN	O
Sentence 59	pra	ADP	O
Sentence 59	blindar	VERB	O
Sentence 59	o	DET	O
Sentence 59	elenco	NOUN	O
Sentence 59	de	ADP	O
Sentence 59	criticas	NOUN	O
Sentence 59	,	PUNCT	O
Sentence 59	e	CCONJ	O
Sentence 59	chamar	VERB	O
Sentence 59	elas	NOUN	O
Sentence 59	pra	ADP	O
Sentence 59	si	PRON	O
Sentence 59	mesmo	DET	O
Sentence 59	...	PUNCT	O
Sentence 59	só	ADV	O
Sentence 59	acho	VERB	O
Sentence 60	A	DET	O
Sentence 60	gente	NOUN	O
Sentence 60	tava	VERB	O
Sentence 60	falando	VERB	O
Sentence 60	sobre	ADP	O
Sentence 60	isso	PRON	O
Sentence 60	agora	ADV	O
Sentence 60	pouco	ADV	O
Sentence 60	😂	PROPN	O
Sentence 60	😂	PROPN	O
Sentence 60	https://t.co/hDR0mk7p0F	PROPN	O
Sentence 61	Quero	VERB	O
Sentence 61	dormir	VERB	O
Sentence 61	,	PUNCT	O
Sentence 61	mas	CCONJ	O
Sentence 61	n	PROPN	O
Sentence 61	consigo	ADJ	O
Sentence 62	555	NUM	O
Sentence 62	você	PRON	O
Sentence 62	é	VERB	O
Sentence 62	o	DET	O
Sentence 62	melhor	ADJ	O
Sentence 62	@	NOUN	O
Sentence 62	do	PROPN	O
Sentence 62	tt	NOUN	O
Sentence 62	e	CCONJ	O
Sentence 62	sempre	ADV	O
Sentence 62	tem	VERB	O
Sentence 62	os	DET	O
Sentence 62	melhores	ADJ	O
Sentence 62	memes	SYM	O
Sentence 62	suícidas	VERB	O
Sentence 62	,	PUNCT	O
Sentence 62	agradeço	NOUN	O
Sentence 62	mt	PROPN	O
Sentence 62	IGUAGFKDHAHDF	PROPN	O
Sentence 63	@VitoriaPrad0	PROPN	O
Sentence 63	Kkkkkkkkkkkk	PROPN	O
Sentence 63	olha	VERB	O
Sentence 63	oq	PROPN	O
Sentence 63	o	DET	O
Sentence 63	amor	NOUN	O
Sentence 63	faz	VERB	O
Sentence 64	Eu	PRON	O
Sentence 64	vou	AUX	O
Sentence 64	sempre	ADV	O
Sentence 64	atrás	ADV	O
Sentence 64	do	ADP	O
Sentence 64	meu	DET	O
Sentence 64	porque	SCONJ	O
Sentence 64	o	DET	O
Sentence 64	azar	VERB	O
Sentence 64	é	VERB	O
Sentence 64	mundano	ADJ	O
Sentence 65	é	VERB	O
Sentence 65	um	DET	O
Sentence 65	pouco	DET	O
Sentence 65	estranho	ADJ	O
Sentence 65	isso	PRON	O
Sentence 66	Amanhã	ADV	O
Sentence 66	vou	AUX	O
Sentence 66	ver	VERB	O
Sentence 66	se	SCONJ	O
Sentence 66	compro	NOUN	O
Sentence 66	uns	DET	O
Sentence 66	panos	NOUN	O
Sentence 66	novos	ADJ	O
Sentence 66	,	PUNCT	O
Sentence 66	porque	SCONJ	O
Sentence 66	tá	VERB	O
Sentence 66	foda	NOUN	O
Sentence 67	ata	PROPN	O
Sentence 67	kkkkkkkkkkkkkkkkkkkkkkkkkkk	PROPN	O
Sentence 68	só	ADV	O
Sentence 68	o	DET	O
Sentence 68	futuro	NOUN	O
Sentence 68	da	ADP	O
Sentence 68	nação	NOUN	O
Sentence 68	no	ADP	O
Sentence 68	twitter	VERB	B-organization
Sentence 69	Já	ADV	O
Sentence 69	era	VERB	O
Sentence 69	pra	ADP	O
Sentence 69	eu	PRON	O
Sentence 69	estar	VERB	O
Sentence 69	dormindo	VERB	O
Sentence 69	a	ADP	O
Sentence 69	muito	DET	O
Sentence 69	tempo	NOUN	O
Sentence 70	Cruzeiro	PROPN	B-organization
Sentence 70	vai	VERB	O
Sentence 70	atropela	NOUN	O
Sentence 70	mais	ADV	O
Sentence 70	ainda	ADV	O
Sentence 70	o	DET	O
Sentence 70	são	PROPN	B-organization
Sentence 70	Paulo	PROPN	I-organization
Sentence 70	no	PROPN	O
Sentence 70	Mineirão	PROPN	B-location
Sentence 70	!	PUNCT	O
Sentence 70	Quarta	ADJ	O
Sentence 70	-	PUNCT	O
Sentence 70	feira	NOUN	O
Sentence 70	19/04	NUM	O
Sentence 70	💙	PROPN	O
Sentence 71	amanhã	ADV	O
Sentence 71	vou	AUX	O
Sentence 71	acordar	VERB	O
Sentence 71	cedo	ADV	O
Sentence 71	E	PUNCT	O
Sentence 71	AINDA	NOUN	O
Sentence 71	TO	PROPN	O
Sentence 71	AQUI	PROPN	O
Sentence 71	ACORDADISSIMA	PROPN	O
Sentence 72	@KMaminhak	PROPN	O
Sentence 72	yesssssssss	PROPN	O
Sentence 72	,	PUNCT	O
Sentence 72	mas	CCONJ	O
Sentence 72	confessa	VERB	O
Sentence 72	que	SCONJ	O
Sentence 72	você	PRON	O
Sentence 72	sente	VERB	O
Sentence 72	falta	NOUN	O
Sentence 72	amiga	NOUN	O
Sentence 72	hahaha	ADJ	O
Sentence 73	tava	VERB	O
Sentence 73	aqui	ADV	O
Sentence 73	pensando	VERB	O
Sentence 73	pq	NOUN	O
Sentence 73	q	ADP	O
Sentence 73	as	DET	O
Sentence 73	pessoas	NOUN	O
Sentence 73	conseguem	VERB	O
Sentence 73	postar	VERB	O
Sentence 73	videos	NOUN	O
Sentence 73	com	ADP	O
Sentence 73	mais	ADV	O
Sentence 73	de	ADP	O
Sentence 73	45s	NOUN	O
Sentence 73	no	ADP	O
Sentence 73	twitter	VERB	B-organization
Sentence 73	e	CCONJ	O
Sentence 73	eu	PRON	O
Sentence 73	não	ADV	O
Sentence 74	roque	PROPN	O
Sentence 74	ta	PRON	O
Sentence 74	numa	AUX	O
Sentence 74	de	ADP	O
Sentence 74	parar	VERB	O
Sentence 74	no	ADP	O
Sentence 74	meio	ADV	O
Sentence 74	das	NOUN	O
Sentence 74	escadas	ADJ	O
Sentence 74	e	CCONJ	O
Sentence 74	ficar	AUX	O
Sentence 74	chorando	VERB	O
Sentence 74	e	CCONJ	O
Sentence 74	latindo	VERB	O
Sentence 74	dizendo	VERB	O
Sentence 74	que	SCONJ	O
Sentence 74	nao	PROPN	O
Sentence 74	consegue	VERB	O
Sentence 74	subir	AUX	O
Sentence 74	sei	VERB	O
Sentence 74	la	PRON	O
Sentence 75	@Igor_Belloni	VERB	O
Sentence 75	só	ADV	O
Sentence 75	vc	PROPN	O
Sentence 75	pra	ADP	O
Sentence 75	ver	VERB	O
Sentence 75	meus	DET	O
Sentence 75	babado	NOUN	O
Sentence 75	no	ADP	O
Sentence 75	TT	PROPN	O
Sentence 75	essa	DET	O
Sentence 75	hora	NOUN	O
