tweet_id	mensagem
|TWEET_ID|: 853794827368091650	|MENSAGEM|: Um dia tá tudo bem, no outro não e assim vai indo a vida
|TWEET_ID|: 853794832418033664	|MENSAGEM|: Mas fica em paz! Eu te amo!
|TWEET_ID|: 853794833135284225	|MENSAGEM|: @belaapacheco meu sonho eh te pegar
|TWEET_ID|: 853794835396001792	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853794835932880896	|MENSAGEM|: Quero conversar com alguém mano
|TWEET_ID|: 853794844724142084	|MENSAGEM|: Tenho Msm irmão kkkkk https://t.co/9YkN6SehqG
|TWEET_ID|: 853794854203269120	|MENSAGEM|: #depoisdojogo Piperno se o Trainee R.Ceni passar em qualquer um dos Mata a Mata, ;você vai ter que usar um crachá De Trainee dom que vem!
|TWEET_ID|: 853794857164341248	|MENSAGEM|: Preciso acordar mais cedo e ajeitar meu cabelo que tá só a bagaceira
|TWEET_ID|: 853794858095570944	|MENSAGEM|: @AbioJoao Patrão
|TWEET_ID|: 853794859978825729	|MENSAGEM|: não quero ir pra escola
|TWEET_ID|: 853794861178376193	|MENSAGEM|: esse João Guilherme ta mt estranho
|TWEET_ID|: 853794875590021121	|MENSAGEM|: @leozitotevez Que tristeza em que vc estava pra se lembrar disso hein
|TWEET_ID|: 853794876961456128	|MENSAGEM|: @ForeverPlayerG tem que ser , essa o áudio tava ruim . Próxima faz a farm de iron na live.
|TWEET_ID|: 853810098501824512	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810101165203459	|MENSAGEM|: @marianasoubhia Aaaa mari mto mto obri hehe
|TWEET_ID|: 853810102616379393	|MENSAGEM|: Se toda dor virasse flor eu seria um jardim 😪
|TWEET_ID|: 853810102687674368	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810103140716544	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810105715961856	|MENSAGEM|: @Vickmatiass @RubensSiedler @Beellinda12 Lembre-se de mim!
|TWEET_ID|: 853810106684854273	|MENSAGEM|: Vou me degradar pra agradar vocês? Nunca! — ouvindo Racionais
|TWEET_ID|: 853810107246927873	|MENSAGEM|: Kkkkkkkkk que vergonha https://t.co/AnYhBjOeFC
|TWEET_ID|: 853810113169305601	|MENSAGEM|: @Raycchagas @AnnaSpr4yberry dnv no caso kkkk
|TWEET_ID|: 853810115362869248	|MENSAGEM|: Não sei o que a Gaga fez, mas está bonita na Coachella.
|TWEET_ID|: 853810120681299968	|MENSAGEM|: Só gratidão pelo final de semana que eu tive.. Obrigada Deus,por ter me dado a melhor família 🙏🏽❤️
|TWEET_ID|: 853810122539380737	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810128809844736	|MENSAGEM|: @leticia_mouzer obrigadaaa! cê que é ❤
|TWEET_ID|: 853810129606672384	|MENSAGEM|: @mgs_isa Botei os mlk pra assistir no almoço kkkk
|TWEET_ID|: 853810132500840448	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810133306159104	|MENSAGEM|: Saudades beijar na boca aos domingos, saudades
|TWEET_ID|: 853810133708808192	|MENSAGEM|: Ba tava legal , gostei muito 🙏✌
|TWEET_ID|: 853810138456743940	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810141740892161	|MENSAGEM|: "todos meus cds foram juntos com a enchente Luan, MAS JURO QUE SOU SUA FÃ" #LuanCuidadoComAEnchente
|TWEET_ID|: 853810147533213702	|MENSAGEM|: @diopacheco HAUAHAUAHAHAHAA eu te dou um autografo no próximo m&amp;g em SP. #pas
|TWEET_ID|: 853810147961036800	|MENSAGEM|: Chega de ser idiota
|TWEET_ID|: 853810152511864833	|MENSAGEM|: pq foz do igua é assim mano??? tnc que city lixo
|TWEET_ID|: 853810155334586374	|MENSAGEM|: Sim , cinco 😣! https://t.co/9wMKkt2AE0
|TWEET_ID|: 853810163006009345	|MENSAGEM|: AA - nunca conversei, dm está aí, parece ser querida e bonita
|TWEET_ID|: 853810165497442305	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810169821765632	|MENSAGEM|: Esse pneu da bike, tinha que furar logo hooooooje!!?
|TWEET_ID|: 853810176725594112	|MENSAGEM|: Tu vai gamar mesmo que tu seja bandido 🎶
|TWEET_ID|: 853810179992944641	|MENSAGEM|: @DiegoAlmeeidaa1 vem visitar a gnt px
|TWEET_ID|: 853810183641890817	|MENSAGEM|: Eu sou cara de pau demais kkkkkkkk
|TWEET_ID|: 853810187832053760	|MENSAGEM|: odeio quando não sei lidar com as situações
|TWEET_ID|: 853810188628971520	|MENSAGEM|: entao pode me amar https://t.co/Gq832rEkrK
|TWEET_ID|: 853810189442703362	|MENSAGEM|: escondeu muito bem a gravidez e a barriga e provavelmente não vai mostrar tão cedo o rosto de Nina
|TWEET_ID|: 853810201023086593	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810209860591616	|MENSAGEM|: @flavia586 @nykolevieiraa para de palhaçada flavinha te amo
|TWEET_ID|: 853810218744127490	|MENSAGEM|: 700- não conheço, mas acho mó bonita
|TWEET_ID|: 853810223097802752	|MENSAGEM|: Se você já cansou de ser enganada, imagina eu
|TWEET_ID|: 853810229393448961	|MENSAGEM|: aceitando presentes de natal ja https://t.co/3nSgYWxDmT
|TWEET_ID|: 853810229540261888	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810229884182528	|MENSAGEM|: @marceloprado eu acho q ele ta usando isso meio q pra blindar o elenco de criticas, e chamar elas pra si mesmo... só acho
|TWEET_ID|: 853810232660828164	|MENSAGEM|: A gente tava falando sobre isso agora pouco 😂😂 https://t.co/hDR0mk7p0F
|TWEET_ID|: 853810233046650880	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810236033028096	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853810236930568192	|MENSAGEM|: Quero dormir, mas n consigo
|TWEET_ID|: 853810238767714306	|MENSAGEM|: 555 você é o melhor @ do tt e sempre tem os melhores memes suícidas, agradeço mt IGUAGFKDHAHDF
|TWEET_ID|: 853825376254140416	|MENSAGEM|: @VitoriaPrad0 Kkkkkkkkkkkk olha oq o amor faz
|TWEET_ID|: 853825376417697793	|MENSAGEM|: Eu vou sempre atrás do meu porque o azar é mundano
|TWEET_ID|: 853825381090066433	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825386983174144	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825395053015040	|MENSAGEM|: é um pouco estranho isso
|TWEET_ID|: 853825399398301696	|MENSAGEM|: Amanhã vou ver se compro uns panos novos, porque tá foda
|TWEET_ID|: 853825400773980160	|MENSAGEM|: ata kkkkkkkkkkkkkkkkkkkkkkkkkkk
|TWEET_ID|: 853825409884065792	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825410282524673	|MENSAGEM|: só o futuro da nação no twitter
|TWEET_ID|: 853825413080121344	|MENSAGEM|: Já era pra eu estar dormindo a muito tempo
|TWEET_ID|: 853825414053023744	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825414330023936	|MENSAGEM|: Cruzeiro vai atropela mais ainda o são Paulo no Mineirão ! Quarta - feira  19/04 💙
|TWEET_ID|: 853825422022332416	|MENSAGEM|: amanhã vou acordar cedo E AINDA TO AQUI ACORDADISSIMA
|TWEET_ID|: 853825427969802240	|MENSAGEM|: @KMaminhak yesssssssss, mas confessa que você sente falta amiga hahaha
|TWEET_ID|: 853825453827792897	|MENSAGEM|: tava aqui pensando pq q as pessoas conseguem postar videos com mais de 45s no twitter e eu não
|TWEET_ID|: 853825456323350528	|MENSAGEM|: roque ta numa de parar no meio das escadas e ficar chorando e latindo dizendo que nao consegue subir sei la
|TWEET_ID|: 853825463701078017	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825475575263242	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825476065886209	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825476187611136	|MENSAGEM|: @Igor_Belloni só vc pra ver meus babado no TT essa hora ahsuhau
|TWEET_ID|: 853825510488641536	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825513261019137	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825515253362690	|MENSAGEM|: Acordei bem brava
|TWEET_ID|: 853825516062859265	|MENSAGEM|: Eu tô só essa menina https://t.co/VAnSe8csbd
|TWEET_ID|: 853825516486393856	|MENSAGEM|: NAO SAI DO REPLAY SOCORRO EH BOA DMS
|TWEET_ID|: 853825522945622016	|MENSAGEM|: To comendo aquele chocolate 😜
|TWEET_ID|: 853825526208884736	|MENSAGEM|: Meta dá vida https://t.co/3AARq5laPy
|TWEET_ID|: 853825528314376192	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825531460104192	|MENSAGEM|: @stephanieavelin Engraçado que ela vai me bater mas ao inves de falar pra mim vai falar pra vc kkkkkkkkkkkkkkk
|TWEET_ID|: 853825536149159938	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853825539282436101	|MENSAGEM|: Apesar de colher a batatas da terra !
|TWEET_ID|: 853825542151450625	|MENSAGEM|: kkkkkkkkkkk socorro https://t.co/Cc5TNSLNsl
|TWEET_ID|: 853825546450546688	|MENSAGEM|: Uma pequena prévia do que tá renderizando aqui… https://t.co/JxyXc5Mf3D
|TWEET_ID|: 853825550552621056	|MENSAGEM|: acordo d um sonho louco, cm gente vindo me cobrar coisa q eu nem tô sabendo q aconteceu, pq eu tava dormindo e só qro dormir dnv, sem briga
|TWEET_ID|: 853825553056616449	|MENSAGEM|: Na vdd preciso de um melhor amigo
|TWEET_ID|: 853825556294623237	|MENSAGEM|: @thalitameneghim @diazera Salvando para caso isso seja apagado
|TWEET_ID|: 853825561902424064	|MENSAGEM|: @matheusvp_ N sabem brincar vcs tiauu
|TWEET_ID|: 853825563462688768	|MENSAGEM|: @sugakill ai vai lá vc fala "policia socorro tão me atacando são os" ai vai lá e o suga grita "ENEMY ENEMY ENEMY UÉ"
|TWEET_ID|: 853825590960553986	|MENSAGEM|: As vezes até me interno no wpp, mas só quando to com paciência
|TWEET_ID|: 853825596958396416	|MENSAGEM|: @djonyjose Meio imoral né
|TWEET_ID|: 853825597512011776	|MENSAGEM|: Com aquele olhar indiscreto
O que eu penso é secreto
Mas sabe o que eu quero.
|TWEET_ID|: 853825598103461889	|MENSAGEM|: quarta rodízio
quinta bg
sexta rolezin com xs bests

adeus......'dinheiro......
|TWEET_ID|: 853825600028540928	|MENSAGEM|: @ktaejimin Fica calma, vai dar tudo certo, tu é inteligente 😘💕
|TWEET_ID|: 853840495247859713	|MENSAGEM|: Acho que eu não vou fazer trabalho não
|TWEET_ID|: 853840502390763520	|MENSAGEM|: vi um gato hj a coisa mais lindinha quase que eu trouxe p casa
|TWEET_ID|: 853840513245556736	|MENSAGEM|: To loucaço
|TWEET_ID|: 853840513702776833	|MENSAGEM|: Gabriel ta se arrumando p ir pro quartel
|TWEET_ID|: 853840545172606976	|MENSAGEM|: Adiantei toda minha vida atoa nessa semana passada pro meu Pai não saber quando vem??? Ata
|TWEET_ID|: 853840554240638976	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840573882675201	|MENSAGEM|: o seu perfil foi visto por 4 pessoas nas últimas 3 horas https://t.co/Bd1DHsHcYO
|TWEET_ID|: 853840590127206400	|MENSAGEM|: KKKK MAS DEMORA
|TWEET_ID|: 853840619298533377	|MENSAGEM|: @degaussrer KKKKKKKKKK to brincando meu bb, te amo
|TWEET_ID|: 853840619520745472	|MENSAGEM|: Novo curso de aquarela Sobral 
Professor: 
Rafael Vieira 
Em breve novidades! 

#aquarela… https://t.co/i24BZE3RBk
|TWEET_ID|: 853840639955435522	|MENSAGEM|: @findlett Mas oq tem a ver uma coisa cm a outra
|TWEET_ID|: 853840665859559424	|MENSAGEM|: Essa música do Costa cm MC Davi ta muito foda
|TWEET_ID|: 853840673421873153	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840704455540736	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840718099619841	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840744645373952	|MENSAGEM|: Vo drumi forçado pq tomei remedinho só espero conseguir acordar no horário certo
|TWEET_ID|: 853840747375857665	|MENSAGEM|: pessoas que visitaram meu perfil e grupos que sigo no Twitter https://t.co/BOLT3TqnEA
|TWEET_ID|: 853840750148288512	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840776849235968	|MENSAGEM|: @_ppkvivi Esqueceu da socada bem forte até o fundo 😈😈😈
|TWEET_ID|: 853840796445011968	|MENSAGEM|: 1 pessoa acaba de visitar seu perfil https://t.co/gFXQnFpq1P
|TWEET_ID|: 853840800987402241	|MENSAGEM|: cambriana é muito bom mano como é possivel
|TWEET_ID|: 853840819815682052	|MENSAGEM|: queria sair gritando pela rua cantando car radio
|TWEET_ID|: 853840826803290112	|MENSAGEM|: confira: https://t.co/fS0beOVtKD
|TWEET_ID|: 853840848940929024	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840863318945792	|MENSAGEM|: Como vou dormir agora???? Tenho pavor de aranha scrr
|TWEET_ID|: 853840872567447553	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840878183620608	|MENSAGEM|: Ah essa música ❤️
|TWEET_ID|: 853840879567740928	|MENSAGEM|: Me deixou preocupado esse fdp 😔😔😔
|TWEET_ID|: 853840882243694592	|MENSAGEM|: Levantar cedo pra estudar e ruim,mas levantar quase de madruga pra trampar eee meus amigos
|TWEET_ID|: 853840885263589376	|MENSAGEM|: QUERO FAZER UMA SURPRESA PRA MINHA VÓ MAS NADA COLABORA
|TWEET_ID|: 853840899415134208	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840914623717376	|MENSAGEM|: posição 18883 no Ranking segue-de-volta. Confira os 100 primeiros: https://t.co/TD2wjp0oJ1. #1 @CheZeGuevara
|TWEET_ID|: 853840928569774085	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853840960735903744	|MENSAGEM|: “Um amigo não segura a barra, apenas. Segura a mão, a ausência, segura uma confissão, segura o tranco,...” https://t.co/HTMZYLDDSP
|TWEET_ID|: 853855440589000704	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855457785634816	|MENSAGEM|: Os dois né https://t.co/DiSGz7jCzU
|TWEET_ID|: 853855459010379776	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855480996925440	|MENSAGEM|: Eu amo muito o Felipe e queria todos os dias poder mostrar o quanto esse amor é grande diferenciadamente
|TWEET_ID|: 853855492036284416	|MENSAGEM|: bando de imprestáveis
|TWEET_ID|: 853855535883370496	|MENSAGEM|: 3 da manhã e eu tô fazendo um baile funk no quarto. CADÊ O SONO
|TWEET_ID|: 853855589654462468	|MENSAGEM|: Mh cabeça tá doendo mt 😭😭😭😭😭😭
|TWEET_ID|: 853855612651921409	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855644289564672	|MENSAGEM|: Tem mensagem do início do mês que eu ainda não respondi
|TWEET_ID|: 853855667861540864	|MENSAGEM|: To mal ainda
|TWEET_ID|: 853855683539857410	|MENSAGEM|: Quem quiser ir dar uma força pra Emilly ela irá depor hj as 10h na Delegacia de Atendimento à Mulher na rua: Henriqueta 197, Jacarepagua-RJ
|TWEET_ID|: 853855736723644416	|MENSAGEM|: Essa semana sai 
Ainda bem
|TWEET_ID|: 853855748291534848	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855756764028928	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855793564844032	|MENSAGEM|: Ta, silencio de novo
|TWEET_ID|: 853855824015437824	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855834106982400	|MENSAGEM|: @GaaAndrad assim nao da
|TWEET_ID|: 853855875303444480	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855880210788352	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855904025935872	|MENSAGEM|: vou olhar um filme pra ver se eu durmo
|TWEET_ID|: 853855923495895040	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855953099386880	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855958996574208	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853855970883231744	|MENSAGEM|: Amanhã vou comprar mais chocolate 😍
|TWEET_ID|: 853855992165134336	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853856011115003906	|MENSAGEM|: despacito oq significa pesquisar
|TWEET_ID|: 853856017884602368	|MENSAGEM|: Tô animadooooooo
|TWEET_ID|: 853856020644417536	|MENSAGEM|: Ta tão calor
|TWEET_ID|: 853856044577062912	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853856081906454528	|MENSAGEM|: https://t.co/tkqwegeelh
assistam a 13 minutos desse vídeo para compreender um pouco mais sobre a vida  *jobs jobs jobs #gta5
|TWEET_ID|: 853856107332325376	|MENSAGEM|: @amorim_analu @gabrielkkkj @almadaltonica Olaaa 😏❤️ kkkkkk
|TWEET_ID|: 853856165855469573	|MENSAGEM|: eu sou uma pessoa muito incrível msm cr
|TWEET_ID|: 853856202920480768	|MENSAGEM|: Todo mundo devia assistir Thirteen reasons why p a entender as consequências das atitudes para os com os outros.
|TWEET_ID|: 853856220578533376	|MENSAGEM|: @textoscrueis Fica. Apesar das roupas pretas, meu coração é colorido. Deixa eu te oferecer o melhor de mim.
|TWEET_ID|: 853856244255387649	|MENSAGEM|: Mora aonde ? — Higienópolis  https://t.co/KCXdywcUnl
|TWEET_ID|: 853856255609327616	|MENSAGEM|: @vishibiel KKKKKK NOSSA GABRIEL
|TWEET_ID|: 853856269152792577	|MENSAGEM|: Cheguei
|TWEET_ID|: 853856272629862400	|MENSAGEM|: @SoPraReality Então vem cá e juntesse aos bons, pq não é o único! TamuJunto 👊😂😂😂
|TWEET_ID|: 853856294721245185	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853856298395455489	|MENSAGEM|: Que horrível dormir com a pessoa por dias aí tu quer dormir e não consegue sem a pessoa te abraçando vsf vida
|TWEET_ID|: 853856317131243520	|MENSAGEM|: Gata Super Peituda Faz Vídeo se Exibindo Peladinha Com Óleo no Corpo: Peituda boa alem de mostrar seus belos seios… https://t.co/6Egu1HRbYn
|TWEET_ID|: 853870098901340160	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853870307794407424	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853870313037320192	|MENSAGEM|: o seu perfil foi visto por 8 pessoas nas últimas 12 horas https://t.co/NCYnWyyupt
|TWEET_ID|: 853870374785830912	|MENSAGEM|: essas pessoas acabaram de visualizar seu perfil https://t.co/dUcE6bYfum
|TWEET_ID|: 853870376824320000	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853870400106835971	|MENSAGEM|: Você deu uma foda sensacional
|TWEET_ID|: 853870407409119232	|MENSAGEM|: @owmyr nem eu sei mais
|TWEET_ID|: 853870416158498816	|MENSAGEM|: pessoas que visitaram meu perfil e grupos que sigo no Twitter https://t.co/NHiu3fWHt4
|TWEET_ID|: 853870432457555968	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853870500136841216	|MENSAGEM|: Veja os usuários que acessaram seu perfil agora https://t.co/ZzwXJ3Mdox
|TWEET_ID|: 853870506604453888	|MENSAGEM|: Kauana machado — Talvez https://t.co/gdH6cB1eVY
|TWEET_ID|: 853870538695036929	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853870833818894336	|MENSAGEM|: Já viu um mini PC? Computadores enxutos são a nova aposta para desktops https://t.co/bnyfgyEk2h @UOL
|TWEET_ID|: 853870888185462784	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853870948944154624	|MENSAGEM|: ~Segunda-feira, esta é a sua fita'
|TWEET_ID|: 853871036902854657	|MENSAGEM|: Notícia bombástica sacode Goiânia em dia de decisão. Enderson Moreira é o novo treinador do Atléti... https://t.co/kPfFnbjOTA
|TWEET_ID|: 853871050525900801	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853871101692321792	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853871128019968001	|MENSAGEM|: Tô com tanta dor que parece que vou morrer
|TWEET_ID|: 853871149901656064	|MENSAGEM|: Depois de dois dias sem ler praticamente nada, dei uma boa adiantada nas minhas leituras! Opa, são quase 4:30am? Como isso sempre acontece?
|TWEET_ID|: 853871153865265153	|MENSAGEM|: Não é preciso ouvir da boca quando se sabe ler os olhos
|TWEET_ID|: 853871179538587648	|MENSAGEM|: Mas foi bom demaaaaais 💙💙💙💙
|TWEET_ID|: 853871216234508289	|MENSAGEM|: Elmar Nascimento  (DEM) "Reza todos os dias pra não ter que cassar um colega corrupto #ForaTemer #CongressoPodre… https://t.co/VhoyY3EkTU
|TWEET_ID|: 853871225013186560	|MENSAGEM|: Psicoterapia em Sete Lagoas, terapeuta  , doenca do panico https://t.co/IhrEqXlpN8 Psicologia SLBR4413788 https://t.co/6MHVyiRuIT
|TWEET_ID|: 853871329283629056	|MENSAGEM|: Minha cabeça está martelando, tá foda
|TWEET_ID|: 853871440332038144	|MENSAGEM|: @whindersson Num sabia
|TWEET_ID|: 853871483617259520	|MENSAGEM|: @Rafa_ferrari27 é, sou eu https://t.co/K8ZQG9PGbt
|TWEET_ID|: 853871507197636608	|MENSAGEM|: foi foi, fé pro resto!!!!!
|TWEET_ID|: 853871659811524608	|MENSAGEM|: confira: https://t.co/eJOqxfxZzI @segvolta
|TWEET_ID|: 853871672625164289	|MENSAGEM|: lancei e fui dormir
|TWEET_ID|: 853884886188478464	|MENSAGEM|: Tenho visto tanta gente legal se fodendo e se autossabotando como eu que dá vontade de abraçar e dizer que tudo vai ficar bem
|TWEET_ID|: 853884939510714369	|MENSAGEM|: @laurenillusions durma bemmmmm
|TWEET_ID|: 853884960083771392	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853885099577942016	|MENSAGEM|: E é foda pq eu ODEIO dormir sozinha na minha cama nunca disse isso p ngm mais eu ODEIO dormir sozinha nessa cama de casal enorme
|TWEET_ID|: 853885122164260865	|MENSAGEM|: eu n te vejo mais o batman sim
|TWEET_ID|: 853885126425669633	|MENSAGEM|: @mjsiqueiraa Tô lá no zap rindo mt kd tu
|TWEET_ID|: 853885145765556230	|MENSAGEM|: confira: https://t.co/soYPrYad97 @segvolta
|TWEET_ID|: 853885339529863169	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853885472992526337	|MENSAGEM|: Se a pessoa não gosta de mim n quero q force amizade comigo quero q resolva o problema que tem comigo acho mó palhaçada falsidade
|TWEET_ID|: 853885487983079425	|MENSAGEM|: Tá lascado ! kkkkkkkkkkk https://t.co/oQe13erohb
|TWEET_ID|: 853885603901034496	|MENSAGEM|: Vou tentar dormir emmm
|TWEET_ID|: 853885765222359040	|MENSAGEM|: R$82 na inscrição do Enem? Sexta-feira eu pago R$50 e viro professor de inglês no OPEN BAR da 
LOVE RIO 🍹🍸🍺
|TWEET_ID|: 853885885020065794	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853885967039692801	|MENSAGEM|: a madrugada não foi feita pra assistir greys anatomy 
eh muita sofrencia bicho
|TWEET_ID|: 853885973775564801	|MENSAGEM|: 17 de abril: O dia nacional da falta de vergonha: 17 de abril de 2016. Foi um espetáculo… https://t.co/JpIHVe8ZQ0
|TWEET_ID|: 853885984827637760	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853886015425175553	|MENSAGEM|: @SamelaAndressa Melhor continuar sem beber, economizo mais ainda querida varoa
|TWEET_ID|: 853886176469581825	|MENSAGEM|: que mulher https://t.co/IuQVID8J8P
|TWEET_ID|: 853886219415171072	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853886251778420736	|MENSAGEM|: quando eu acordo, minhas notificações são só snap e nba
|TWEET_ID|: 853886254261260288	|MENSAGEM|: 17 de abril de 2017: https://t.co/UyGJZx6rPj via @YouTube
|TWEET_ID|: 853886314625806338	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853886393730445312	|MENSAGEM|: QUE SAUDADE DO MEU EX - MARÍLIA MENDONÇA
|TWEET_ID|: 853886436927561729	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853886618058584064	|MENSAGEM|: |SEM INFORMAÇÃO|
|TWEET_ID|: 853886755187154944	|MENSAGEM|: Vou dormi jaja
|TWEET_ID|: 853886888205332480	|MENSAGEM|: Perdi meu melhor batom , ou foi na festa da Evy , ou deixei com kathllen 😪
|TWEET_ID|: 853886980534489089	|MENSAGEM|: @GregHirooka Todo mundo faz react de MV Kpop, dizem que eles dançam bem, mas não vêem nem a metade da coreografia porque no MV  não mostra
